Первичный КИПиА v0.6;Позиция КИПиА;Контролируемый параметр, или исполнительный механизм;Группа КИПиА;Тип КИПиА;Подсистема АСУ ТП;Точка измерения;Наименование и обозначение линии / аппарата (штуцер), или место установки;DN трубопровода;Размер трубопровода;Марка стали аппарата / труб.;Наименование Измеряемая среда;Агрегатное состояние;Температура среды раб. / расч.;Единица измерения температуры;Давление среды раб. / расч.;Единица измерения давления;Давление до клапана;Давление после клапана;Положение привода клапана;Расход минимальный;Расход рабочий;Расход максимальный;Единица измерения расход;Пределы измерения уровня мм (%);Вязкость рабочая;Единица измерения;Плотность;Плотность расчетная;Единица измерения плотности;Особые физико-химические свойства среды;Обогрев среды;Класс опасности;Коэф-т сжимаемости газа
КИП;pos;kip_param;kip_group;kip_type;kip_asutype;kip_controlPoint;proc_place_name;pipe_DN;pipe_FullSizeXmat;pipe_material;media_name;media_phase;proc_media_T;media_temp_units;proc_media_P;media_press_units;media_bpress;media_apress;valve_pos;media_minrate;media_workrate;media_maxrate;media_rate_units;media_level_value;media_wdynviscosity;media_dynviscosity_units;media_wdensity;media_ddensity;media_density_units;media_specproperty;pipe_calorifer_type;media_danger;media_wzrate
